artist	file	source_page	direct_image_url	primary_role
Asahi Nagata	asahi-nagata/01-family-dinner-scene.png	https://illoirro.com/family-dinner-jigsaw-puzzle	https://cdn.myportfolio.com/1b4c1eb6-38ac-4397-b9a9-629e03b35f88/4d8451fa-2019-4f38-9bd5-14e5289e0c0c_rw_1920.png?h=5664bfef3cdf91bb6a3580886c8a2d6a	group scene and print hierarchy
Asahi Nagata	asahi-nagata/02-family-dinner-detail.png	https://illoirro.com/family-dinner-jigsaw-puzzle	https://cdn.myportfolio.com/1b4c1eb6-38ac-4397-b9a9-629e03b35f88/6a795846-f6e2-481a-ad2b-4258479af8b9_rw_1920.png?h=d05622460d8e4a30ef98ff2dcc6d68ac	people-animal-object coexistence
Asahi Nagata	asahi-nagata/03-family-dinner-puzzle.png	https://illoirro.com/family-dinner-jigsaw-puzzle	https://cdn.myportfolio.com/1b4c1eb6-38ac-4397-b9a9-629e03b35f88/59aa1b9d-bab9-4a8b-a095-d49d5efc638c_rw_1920.png?h=7febcde7a0e332986514b49d3f1f2fb0	busy scene controlled by large masses
Asahi Nagata	asahi-nagata/04-family-dinner-print.jpg	https://illoirro.com/family-dinner-jigsaw-puzzle	https://cdn.myportfolio.com/1b4c1eb6-38ac-4397-b9a9-629e03b35f88/9c29ca53-2ba5-4b22-9196-33e3f7c465a7_rw_3840.jpg?h=723cc081a6c66591a33d58963a88b4e9	printed color and texture
Asahi Nagata	asahi-nagata/05-family-dinner-tote.jpeg	https://illoirro.com/family-dinner-jigsaw-puzzle	https://cdn.myportfolio.com/1b4c1eb6-38ac-4397-b9a9-629e03b35f88/8586be4c-d52d-4901-8f20-059c97e9ad27_rw_1920.jpeg?h=f48f8eb1926e4747b1ce4925b5dbcbb5	screen-printed product translation
Asahi Nagata	asahi-nagata/06-yard-sale.jpg	https://www.behance.net/nagataae6d8	https://mir-s3-cdn-cf.behance.net/projects/max_808/34217e251625915.Y3JvcCw1MTEzLDQwMDAsMTI5MSww.jpg	figures and ordinary-object grouping
Asahi Nagata	asahi-nagata/07-tiny-trips-scene.jpg	https://illoirro.com/how-to-make-the-most-of-your-tiny-trip	https://cdn.myportfolio.com/1b4c1eb6-38ac-4397-b9a9-629e03b35f88/dac77e5b-45d4-42dc-bcca-7588763366c0_rw_1920.jpg?h=af17e22e08ba20ff8348b508d046a92d	quiet scene with specific action
Asahi Nagata	asahi-nagata/08-tiny-trips-scene.jpg	https://illoirro.com/how-to-make-the-most-of-your-tiny-trip	https://cdn.myportfolio.com/1b4c1eb6-38ac-4397-b9a9-629e03b35f88/4e6933b7-bb34-4d6d-a1a0-a5504fe94529_rw_1920.jpg?h=3eb1cbc1da93d53049e45274b210478e	flat spatial stacking
Asahi Nagata	asahi-nagata/09-tiny-trips-scene.jpg	https://illoirro.com/how-to-make-the-most-of-your-tiny-trip	https://cdn.myportfolio.com/1b4c1eb6-38ac-4397-b9a9-629e03b35f88/9fe3b25f-b30c-4164-8850-17d082b0a778_rw_3840.jpg?h=aba9a072ead5abad76499a11d0c09f26	limited palette and environment cues
Asahi Nagata	asahi-nagata/10-little-free-library.png	https://www.behance.net/nagataae6d8	https://mir-s3-cdn-cf.behance.net/projects/max_808/e82274250555403.Y3JvcCw4ODMsNjkxLDI1OCw1OQ.png	person-object-environment narrative
Paca Kim	paca-kim/01-health-ministry-2024.jpg	https://www.behance.net/kimpaca	https://mir-s3-cdn-cf.behance.net/projects/max_808/69f177214823189.Y3JvcCwyMDQ4LDE2MDEsMCwyMjM.jpg	people and public-service relationship
Paca Kim	paca-kim/02-flower-is-a-person-2024.jpg	https://www.behance.net/kimpaca	https://mir-s3-cdn-cf.behance.net/projects/max_808/1c2fa2214822971.Y3JvcCwxNzE2LDEzNDIsMCwyOTc.jpg	book illustration relationship
Paca Kim	paca-kim/03-parnas-mall.jpg	https://www.behance.net/kimpaca	https://mir-s3-cdn-cf.behance.net/projects/max_808/8aac67204123105.Y3JvcCwyOTQyLDIzMDEsMCwzMjA.jpg	people-object retail scene
Paca Kim	paca-kim/04-early-bird.jpg	https://www.behance.net/gallery/204122343/illustration-Book-EARLY-BIRD-by-Paca-Kim	https://mir-s3-cdn-cf.behance.net/projects/max_808/ec1b81204122343.Y3JvcCwxNDAwLDEwOTUsMCwyMzk.jpg	daily drawing and ordinary objects
Paca Kim	paca-kim/06-breakfast-coffee.jpg	https://www.behance.net/kimpaca	https://mir-s3-cdn-cf.behance.net/projects/max_808/831da7204121309.Y3JvcCwxMzQ3LDEwNTQsMjYsMA.jpg	food-vessel-table relationship
Paca Kim	paca-kim/08-carrot-calendar.jpg	https://www.behance.net/kimpaca	https://mir-s3-cdn-cf.behance.net/projects/max_808/f35167204119317.Y3JvcCwzMDI0LDIzNjUsMCw4MzA.jpg	food character and sequence
Paca Kim	paca-kim/09-morning-drawing-ritual.jpeg	https://www.behance.net/kimpaca	https://mir-s3-cdn-cf.behance.net/projects/max_808/4f5c35204119045.Y3JvcCwxNDQwLDExMjYsMCwzMzU.jpeg	ordinary object selection
Paca Kim	paca-kim/10-gardening-book.jpg	https://www.behance.net/kimpaca	https://mir-s3-cdn-cf.behance.net/projects/max_808/180e28204118809.Y3JvcCwxMTcwLDkxNSwwLDExNQ.jpg	plant-tool-person relationship
Min Pin	min-pin/01-patchwork-party.jpg	https://www.minpindesign.com/portfolio	https://images.squarespace-cdn.com/content/v1/551f7f3fe4b0adb698685320/1699401079741-NPQG8QMQLZJCIP8BYFJQ/Patchwork-Party-A6-RGB-Working.jpg	mixed animal group
Min Pin	min-pin/02-bird-farm.jpg	https://www.minpindesign.com/portfolio	https://images.squarespace-cdn.com/content/v1/551f7f3fe4b0adb698685320/1663630184725-PEZI83035XUJ2SQPTRYD/Bird-Farm-A6-RGB.jpg	species-specific body masses
Min Pin	min-pin/03-all-together-repeat.jpg	https://www.minpindesign.com/portfolio	https://images.squarespace-cdn.com/content/v1/551f7f3fe4b0adb698685320/1699401041815-6MMJX3EW25P1MN2BRR0A/all-together-repeat.jpg	repeated group rhythm
Min Pin	min-pin/04-cat-gang.jpg	https://www.minpindesign.com/portfolio	https://images.squarespace-cdn.com/content/v1/551f7f3fe4b0adb698685320/9f5fcda6-b03e-4c82-abc7-654313c6673b/Cat-Gang-Mockup-3.jpg	same-species variation
Min Pin	min-pin/05-blue-animals.jpg	https://www.minpindesign.com/portfolio	https://images.squarespace-cdn.com/content/v1/551f7f3fe4b0adb698685320/1663634720736-XV206EGM78NBDYCZIQEC/blue-animals.jpg	multi-species silhouette
Min Pin	min-pin/07-too-many-seals.jpg	https://www.minpindesign.com/portfolio	https://images.squarespace-cdn.com/content/v1/551f7f3fe4b0adb698685320/1663630663076-SD08BEY5GAWD6Z5F8O8H/Too-Many-Seals-A6-RGB-Working.jpg	dense group spacing
Min Pin	min-pin/08-wild-combination.jpg	https://www.minpindesign.com/portfolio	https://images.squarespace-cdn.com/content/v1/551f7f3fe4b0adb698685320/1663630107446-SWZUPJVDRLGHSKP2FJRG/Wild-Combination-A6-RGB-Working.jpg	animal-habitat fragments
Min Pin	min-pin/09-walk-in-the-park.jpg	https://www.minpindesign.com/portfolio	https://images.squarespace-cdn.com/content/v1/551f7f3fe4b0adb698685320/1721970556225-B5VG4SNF1CVD8USPJ8CF/Walk-in-the-Park-A6-RGB-Working.jpg	action and environment
Min Pin	min-pin/10-guys.jpg	https://www.minpindesign.com/portfolio	https://images.squarespace-cdn.com/content/v1/551f7f3fe4b0adb698685320/1774239401320-5AP2434Y5WAQOMO9Z4PF/guys.jpg	group proportion variation
Atelier Bingo	atelier-bingo/01-place-de-la-grille.jpg	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/7e9c589cbaef2a72bbd925402363326a8b82b33a6ff368db318142d68a62ab59/web-placedelagrille.jpg	collage scene construction
Atelier Bingo	atelier-bingo/02-unusual-observation.jpg	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/34677bdc5e5c2f1aafe64fe2ea9ce17c622b58ed2a6e9b153df466c8a01293d8/observation-ina.jpg	figurative abstraction boundary
Atelier Bingo	atelier-bingo/03-mushroom-season.jpg	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/ea2246702e17b9bef81ee5ffc2ab6be1875100c85107bb7ca982da3b90107c54/site-champignon.jpg	object-to-shape translation
Atelier Bingo	atelier-bingo/04-pepper-salt.jpg	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/70aceaf875da0d896887390a827beb71920b7d520abd401c887f8317b47d85b0/insta-poivrieretsaliere.jpg	still-life collage
Atelier Bingo	atelier-bingo/05-middle-ages.png	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/64d4641349f03bc7d0bc545665f57d3674069fea5e8c40af2d1c152796286d29/Capture-decran-2022-08-25-a-12.58.58.png	architecture and layered shapes
Atelier Bingo	atelier-bingo/06-view-of-port.png	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/3bf9a3b47e683e1eef020dd6ed0e6c92dcde7eb8fbbdca57544bf154c53c07bf/Capture-decran-2022-01-24-a-18.29.49.png	landscape collage
Atelier Bingo	atelier-bingo/07-worm-and-turtle.jpg	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/231a7c04d5d18d742ce1af7c668395e525d9586e388e29bab45c489727141084/web-leveretlatortue.jpg	animal relation in collage
Atelier Bingo	atelier-bingo/08-csb9-reference.png	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/10bbcaa3ce4261903668f31e2bcbe125181b0f8cc6a830e5ee1e37ed26951d94/Capture-decran-2022-08-25-a-13.06.13.png	layered graphic fragments
Atelier Bingo	atelier-bingo/09-electromechanical-balls.jpg	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/c8e7a5d4fc5729bf379ebbc5db5135c17f952aa5d3df52148f4476786cde4f17/dernier.jpg	mechanical object abstraction
Atelier Bingo	atelier-bingo/10-sunny-splendour.jpg	https://atelier-bingo.fr/Personal-work	https://freight.cargo.site/t/original/i/689409914197e57d8a73be02fda7d53c14d7e4a5d11e0ab04e1f289449909b06/aout2020.jpg	color layering and screen-print rhythm
